,Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
76,SLV,Sell to Open,06/23/2023,45,$26.00,$0.29,$0.28,$0.30,30%,,N,$23.48,1.24%,10.25%,10.73%
77,CCJ,Sell to Open,06/23/2023,45,$32.00,$0.35,$0.33,$0.38,2%,08/02/2023,N,$28.52,1.24%,10.33%,12.2%
78,BABA,Sell to Open,06/23/2023,45,$100.00,$1.02,$0.94,$1.10,9%,05/18/2023,Y,$82.22,1.24%,10.29%,21.62%
79,DASH,Sell to Open,06/23/2023,45,$80.00,$0.83,$0.77,$0.90,0%,08/03/2023,N,$67.30,1.24%,10.29%,18.87%
80,BIDU,Sell to Open,06/23/2023,45,$145.00,$1.48,$1.38,$1.59,17%,05/16/2023,Y,$119.48,1.24%,10.31%,21.36%
81,DKNG,Sell to Open,06/23/2023,45,$30.00,$0.30,$0.27,$0.33,2%,08/04/2023,N,$24.38,1.23%,10.21%,23.05%
82,ETSY,Sell to Open,06/23/2023,45,$111.00,$1.14,$1.05,$1.23,0%,07/26/2023,N,$92.71,1.23%,10.2%,19.73%
83,ZM,Sell to Open,06/23/2023,45,$80.00,$0.78,$0.71,$0.85,25%,05/22/2023,Y,$63.56,1.23%,10.18%,25.87%
84,TNA,Sell to Open,06/23/2023,45,$36.00,$0.35,$0.27,$0.43,12%,,N,$28.99,1.21%,10.02%,24.18%
85,EXAS,Sell to Open,06/16/2023,38,$85.00,$0.85,$0.75,$0.95,11%,05/09/2023,Y,$71.00,1.2%,11.81%,19.72%
86,ALB,Sell to Open,06/23/2023,45,$230.00,$2.34,$2.05,$2.65,20%,08/02/2023,N,$195.17,1.2%,9.99%,17.85%
87,HOG,Sell to Open,06/23/2023,45,$39.00,$0.42,$0.35,$0.50,14%,07/27/2023,N,$35.41,1.2%,9.96%,10.14%
88,XLI,Sell to Open,06/23/2023,45,$105.00,$1.19,$0.03,$2.36,24%,,N,$99.37,1.2%,9.98%,5.67%
89,NET,Sell to Open,06/23/2023,45,$60.00,$0.56,$0.52,$0.60,2%,08/03/2023,N,$47.15,1.19%,9.85%,27.25%
90,RCL,Sell to Open,06/23/2023,45,$90.00,$0.91,$0.83,$1.00,8%,07/27/2023,N,$76.96,1.19%,9.86%,16.94%
91,BURL,Sell to Open,06/23/2023,45,$205.00,$2.07,$1.80,$2.35,29%,05/25/2023,Y,$175.40,1.18%,9.81%,16.88%
92,RH,Sell to Open,06/23/2023,45,$315.00,$3.09,$2.80,$3.40,25%,06/01/2023,Y,$262.72,1.18%,9.79%,19.9%
93,EXPE,Sell to Open,06/23/2023,45,$105.00,$1.10,$1.03,$1.17,0%,08/03/2023,N,$93.26,1.18%,9.78%,12.59%
94,ON,Sell to Open,06/23/2023,45,$92.00,$0.92,$0.84,$1.01,6%,07/31/2023,N,$78.81,1.17%,9.74%,16.74%
95,TBT,Sell to Open,06/23/2023,45,$34.00,$0.34,$0.30,$0.39,15%,,N,$29.47,1.17%,9.71%,15.37%
96,IAU,Sell to Open,06/16/2023,38,$40.00,$0.45,$0.40,$0.50,9%,,N,$38.55,1.17%,11.52%,3.76%
97,NVDA,Sell to Open,06/23/2023,45,$340.00,$3.35,$3.10,$3.60,22%,05/24/2023,Y,$285.71,1.17%,9.73%,19%
98,BERY,Sell to Open,06/16/2023,38,$62.50,$0.67,$0.60,$0.75,21%,08/02/2023,N,$59.41,1.14%,11.21%,5.2%
99,MRO,Sell to Open,06/23/2023,45,$26.50,$0.26,$0.23,$0.29,14%,08/02/2023,N,$22.90,1.14%,9.42%,15.72%
100,IWO,Sell to Open,06/16/2023,38,$240.00,$2.54,$0.10,$5.00,12%,,N,$223.85,1.14%,11.24%,7.21%
101,XLU,Sell to Open,06/23/2023,45,$72.00,$0.77,$0.05,$1.49,7%,,N,$68.73,1.12%,9.29%,4.76%
102,SQ,Sell to Open,06/23/2023,45,$72.00,$0.66,$0.63,$0.70,0%,08/03/2023,N,$59.32,1.12%,9.3%,21.38%
103,KWEB,Sell to Open,06/23/2023,45,$31.00,$0.30,$0.27,$0.33,6%,,N,$26.77,1.12%,9.3%,15.8%
104,ALGN,Sell to Open,06/23/2023,45,$350.00,$3.40,$2.50,$4.30,8%,07/26/2023,N,$302.74,1.12%,9.32%,15.61%
105,SCHW,Sell to Open,06/23/2023,45,$56.00,$0.53,$0.46,$0.60,26%,07/18/2023,N,$47.94,1.11%,9.17%,16.81%
106,MRVL,Sell to Open,06/23/2023,45,$48.00,$0.44,$0.42,$0.47,13%,05/25/2023,Y,$39.99,1.11%,9.23%,20.03%
107,HAL,Sell to Open,06/23/2023,45,$35.00,$0.33,$0.28,$0.39,19%,07/25/2023,N,$30.10,1.11%,9.23%,16.28%
108,CROX,Sell to Open,06/23/2023,45,$140.00,$1.29,$1.15,$1.45,9%,07/27/2023,N,$116.91,1.11%,9.22%,19.75%
109,APA,Sell to Open,06/23/2023,45,$40.00,$0.36,$0.33,$0.40,15%,08/02/2023,N,$33.16,1.1%,9.13%,20.63%
110,QDEL,Sell to Open,06/16/2023,38,$95.00,$0.95,$0.85,$1.05,1%,08/03/2023,N,$86.09,1.1%,10.89%,10.35%
111,WMB,Sell to Open,06/23/2023,45,$31.00,$0.32,$0.25,$0.40,24%,07/31/2023,N,$29.45,1.1%,9.15%,5.26%
112,MTCH,Sell to Open,06/23/2023,45,$38.00,$0.35,$0.30,$0.40,0%,08/01/2023,N,$31.91,1.1%,9.1%,19.08%
113,HAS,Sell to Open,06/16/2023,38,$65.00,$0.64,$0.60,$0.70,29%,07/18/2023,N,$59.65,1.09%,10.75%,8.97%
114,MOS,Sell to Open,06/23/2023,45,$43.00,$0.40,$0.37,$0.44,19%,07/31/2023,N,$37.17,1.09%,9.04%,15.68%
115,FAS,Sell to Open,06/23/2023,45,$70.00,$0.62,$0.45,$0.80,17%,,N,$57.11,1.09%,9.08%,22.57%
116,OKTA,Sell to Open,06/23/2023,45,$95.00,$0.82,$0.70,$0.94,27%,05/31/2023,Y,$76.03,1.08%,8.95%,24.95%
117,EWZ,Sell to Open,06/23/2023,45,$31.00,$0.31,$0.27,$0.36,20%,,N,$29.04,1.08%,9%,6.75%
118,ABNB,Sell to Open,06/23/2023,45,$155.00,$1.36,$1.25,$1.47,30%,05/09/2023,Y,$127.07,1.07%,8.88%,21.98%
119,URI,Sell to Open,06/23/2023,45,$390.00,$3.65,$3.30,$4.00,42%,07/26/2023,N,$340.67,1.07%,8.89%,14.48%
120,XOP,Sell to Open,06/23/2023,45,$135.00,$1.27,$1.22,$1.32,16%,,N,$120.00,1.06%,8.78%,12.5%
121,HIG,Sell to Open,06/16/2023,38,$75.00,$0.75,$0.70,$0.80,38%,07/27/2023,N,$70.45,1.06%,10.5%,6.46%
122,SHAK,Sell to Open,06/23/2023,45,$75.00,$0.70,$0.60,$0.80,1%,08/03/2023,N,$65.96,1.06%,8.8%,13.71%
123,YETI,Sell to Open,06/23/2023,45,$52.00,$0.45,$0.35,$0.55,29%,05/11/2023,Y,$43.04,1.05%,8.67%,20.82%
124,EQT,Sell to Open,06/23/2023,45,$39.00,$0.33,$0.31,$0.36,16%,07/26/2023,N,$32.32,1.04%,8.6%,20.67%
125,MU,Sell to Open,06/23/2023,45,$69.00,$0.63,$0.60,$0.67,3%,06/29/2023,N,$60.93,1.04%,8.65%,13.24%
126,SWK,Sell to Open,06/16/2023,38,$90.00,$0.85,$0.80,$0.90,12%,08/03/2023,N,$81.71,1.04%,10.26%,10.15%
127,BHP,Sell to Open,06/16/2023,38,$65.00,$0.62,$0.60,$0.65,6%,08/21/2023,N,$60.48,1.03%,10.19%,7.47%
128,GSK,Sell to Open,06/23/2023,45,$38.00,$0.37,$0.30,$0.45,7%,07/26/2023,N,$36.45,1.03%,8.53%,4.25%
129,SU,Sell to Open,06/23/2023,45,$33.00,$0.30,$0.27,$0.34,26%,,N,$29.66,1.03%,8.53%,11.26%
130,H,Sell to Open,06/16/2023,38,$130.00,$1.22,$1.10,$1.35,17%,08/08/2023,N,$119.08,1.03%,10.15%,9.17%
131,CTSH,Sell to Open,06/16/2023,38,$65.00,$0.62,$0.55,$0.70,11%,07/26/2023,N,$61.63,1.01%,10%,5.47%
132,MELI,Sell to Open,06/23/2023,45,"$1,450.00",$12.65,$7.70,$17.60,1%,08/02/2023,N,"$1,248.05",1.01%,8.41%,16.18%
133,SSO,Sell to Open,06/23/2023,45,$54.00,$0.50,$0.40,$0.60,6%,,N,$50.19,1%,8.26%,7.59%
134,JBL,Sell to Open,06/16/2023,38,$85.00,$0.77,$0.70,$0.85,26%,06/15/2023,Y,$77.76,1%,9.83%,9.31%
135,WSM,Sell to Open,06/23/2023,45,$135.00,$1.14,$0.85,$1.45,21%,05/24/2023,Y,$115.17,1%,8.28%,17.22%
136,ARKK,Sell to Open,06/23/2023,45,$44.00,$0.38,$0.36,$0.40,0%,,N,$38.25,0.99%,8.24%,15.03%
137,AMAT,Sell to Open,06/23/2023,45,$130.00,$1.12,$1.05,$1.20,9%,05/18/2023,Y,$113.84,0.99%,8.2%,14.2%
138,AMR,Sell to Open,06/16/2023,38,$190.00,$1.57,$1.35,$1.80,6%,,N,$159.87,0.99%,9.72%,18.85%
139,MET,Sell to Open,06/23/2023,45,$58.00,$0.52,$0.40,$0.65,38%,08/02/2023,N,$52.79,0.99%,8.25%,9.87%
140,DKS,Sell to Open,06/23/2023,45,$162.50,$1.40,$1.25,$1.55,25%,05/23/2023,Y,$141.05,0.99%,8.23%,15.21%
141,BAC,Sell to Open,06/23/2023,45,$30.00,$0.27,$0.26,$0.29,30%,07/18/2023,N,$27.66,0.99%,8.25%,8.46%
142,MPC,Sell to Open,06/23/2023,45,$125.00,$1.08,$1.02,$1.15,24%,08/01/2023,N,$110.94,0.98%,8.11%,12.67%
143,STX,Sell to Open,06/23/2023,45,$64.00,$0.56,$0.49,$0.63,12%,07/20/2023,N,$57.31,0.98%,8.11%,11.67%
144,BIIB,Sell to Open,06/23/2023,45,$360.00,$3.07,$0.55,$5.60,2%,07/20/2023,N,$314.00,0.98%,8.12%,14.65%
145,Z,Sell to Open,06/23/2023,45,$55.00,$0.46,$0.40,$0.53,2%,08/03/2023,N,$47.49,0.98%,8.12%,15.81%
146,KEYS,Sell to Open,06/16/2023,38,$155.00,$1.40,$1.20,$1.60,48%,05/16/2023,Y,$143.00,0.98%,9.66%,8.39%
147,NTES,Sell to Open,06/16/2023,38,$100.00,$0.85,$0.75,$0.95,8%,05/25/2023,Y,$87.33,0.97%,9.6%,14.51%
148,MDC,Sell to Open,06/16/2023,38,$45.00,$0.40,$0.35,$0.45,18%,07/27/2023,N,$41.07,0.97%,9.61%,9.57%
149,AEP,Sell to Open,06/16/2023,38,$95.00,$0.87,$0.80,$0.95,13%,08/02/2023,N,$91.10,0.96%,9.48%,4.28%
150,CF,Sell to Open,06/23/2023,45,$78.00,$0.65,$0.55,$0.75,16%,08/02/2023,N,$67.79,0.96%,7.95%,15.06%
151,WPM,Sell to Open,06/23/2023,45,$59.00,$0.50,$0.40,$0.60,23%,08/10/2023,N,$51.92,0.96%,7.99%,13.64%
152,CMC,Sell to Open,06/16/2023,38,$50.00,$0.42,$0.35,$0.50,14%,06/22/2023,N,$44.35,0.96%,9.45%,12.74%
153,FSLR,Sell to Open,06/23/2023,45,$210.00,$1.71,$1.59,$1.84,3%,07/27/2023,N,$178.00,0.96%,7.99%,17.98%
154,CNQ,Sell to Open,06/16/2023,38,$62.50,$0.55,$0.50,$0.60,13%,,N,$57.03,0.96%,9.51%,9.59%
155,INTU,Sell to Open,06/23/2023,45,$485.00,$4.05,$3.70,$4.40,23%,05/23/2023,Y,$427.68,0.95%,7.86%,13.4%
156,LRCX,Sell to Open,06/23/2023,45,$585.00,$4.90,$4.40,$5.40,5%,07/26/2023,N,$515.77,0.95%,7.88%,13.42%
157,FXC,Sell to Open,06/16/2023,38,$73.00,$0.72,$0.60,$0.85,5%,,N,$73.03,0.95%,9.39%,-0.04%
158,STM,Sell to Open,06/16/2023,38,$47.00,$0.40,$0.35,$0.45,3%,07/27/2023,N,$42.18,0.95%,9.36%,11.43%
159,FNV,Sell to Open,06/16/2023,38,$175.00,$1.50,$1.40,$1.60,9%,08/09/2023,N,$160.42,0.94%,9.22%,9.09%
160,UAL,Sell to Open,06/23/2023,45,$54.00,$0.43,$0.40,$0.47,13%,07/19/2023,N,$46.36,0.94%,7.78%,16.48%
161,COF,Sell to Open,06/23/2023,45,$101.00,$0.82,$0.70,$0.95,35%,07/20/2023,N,$89.01,0.93%,7.69%,13.47%
162,TXN,Sell to Open,06/23/2023,45,$175.00,$1.52,$1.43,$1.61,7%,07/25/2023,N,$163.00,0.93%,7.74%,7.36%
163,MCHP,Sell to Open,06/16/2023,38,$80.00,$0.67,$0.60,$0.75,6%,08/01/2023,N,$72.71,0.93%,9.16%,10.03%
164,DELL,Sell to Open,06/23/2023,45,$52.00,$0.42,$0.30,$0.55,16%,06/01/2023,Y,$45.98,0.92%,7.67%,13.09%
165,QLD,Sell to Open,06/16/2023,38,$55.00,$0.45,$0.40,$0.50,0%,,N,$49.35,0.91%,9%,11.45%
166,NUE,Sell to Open,06/23/2023,45,$160.00,$1.27,$1.16,$1.39,15%,07/20/2023,N,$140.17,0.91%,7.55%,14.15%
167,FEZ,Sell to Open,06/23/2023,45,$47.50,$0.42,$0.29,$0.55,1%,,N,$45.93,0.91%,7.59%,3.42%
168,ADSK,Sell to Open,06/23/2023,45,$220.00,$1.75,$1.45,$2.05,28%,05/25/2023,Y,$192.73,0.91%,7.53%,14.15%
169,BX,Sell to Open,06/23/2023,45,$94.00,$0.74,$0.60,$0.88,21%,07/20/2023,N,$81.63,0.91%,7.52%,15.15%
170,LVS,Sell to Open,06/23/2023,45,$70.00,$0.56,$0.50,$0.63,10%,07/19/2023,N,$62.37,0.91%,7.51%,12.23%
171,DIS,Sell to Open,06/23/2023,45,$115.00,$0.92,$0.88,$0.96,25%,05/10/2023,Y,$102.18,0.9%,7.47%,12.55%
172,DLTR,Sell to Open,06/23/2023,45,$175.00,$1.39,$1.27,$1.51,35%,05/25/2023,Y,$155.17,0.9%,7.43%,12.78%
173,MGA,Sell to Open,06/16/2023,38,$57.50,$0.47,$0.40,$0.55,8%,08/04/2023,N,$53.13,0.89%,8.82%,8.23%
174,ADBE,Sell to Open,06/23/2023,45,$385.00,$3.06,$2.92,$3.20,13%,06/15/2023,Y,$342.65,0.89%,7.41%,12.36%
175,WDC,Sell to Open,06/23/2023,45,$39.00,$0.30,$0.25,$0.35,32%,,N,$33.60,0.89%,7.41%,16.07%
176,HL,Sell to Open,06/23/2023,45,$8.50,$0.05,$0.01,$0.10,6%,05/10/2023,Y,$6.15,0.89%,7.42%,38.21%
177,GDX,Sell to Open,06/23/2023,45,$41.00,$0.31,$0.29,$0.34,13%,,N,$35.25,0.89%,7.41%,16.31%
178,PLTR,Sell to Open,06/23/2023,45,$14.00,$0.08,$0.07,$0.10,61%,,N,$9.55,0.89%,7.38%,46.6%
179,SWKS,Sell to Open,06/23/2023,45,$111.00,$0.87,$0.75,$1.00,27%,,N,$99.82,0.88%,7.27%,11.2%
180,BP,Sell to Open,06/23/2023,45,$40.00,$0.32,$0.29,$0.36,12%,08/01/2023,N,$36.99,0.88%,7.29%,8.14%
181,GDXJ,Sell to Open,06/23/2023,45,$50.00,$0.37,$0.33,$0.41,12%,,N,$41.88,0.88%,7.33%,19.39%
182,TRGP,Sell to Open,06/16/2023,38,$77.50,$0.62,$0.55,$0.70,11%,08/03/2023,N,$71.18,0.88%,8.66%,8.88%
183,USO,Sell to Open,06/23/2023,45,$73.00,$0.57,$0.52,$0.62,14%,,N,$64.87,0.88%,7.29%,12.53%
184,ADP,Sell to Open,06/23/2023,45,$230.00,$1.87,$0.90,$2.85,8%,07/26/2023,N,$213.66,0.88%,7.28%,7.65%
185,DE,Sell to Open,06/23/2023,45,$425.00,$3.37,$3.10,$3.65,43%,05/19/2023,Y,$381.44,0.88%,7.34%,11.42%
186,COPX,Sell to Open,06/16/2023,38,$44.00,$0.35,$0.30,$0.40,4%,,N,$40.26,0.87%,8.58%,9.29%
187,SPOT,Sell to Open,06/23/2023,45,$165.00,$1.25,$1.15,$1.35,4%,07/26/2023,N,$143.70,0.87%,7.22%,14.82%
188,TAN,Sell to Open,06/23/2023,45,$77.00,$0.60,$0.30,$0.90,6%,,N,$69.25,0.87%,7.19%,11.19%
